Census Tract,Occupied Commercial,Occupied Other,Occupied Public,Owner Occupied,Parking and Lots,Rental Occupied,Vacant Property,Unemployed,Average of AssessedValue,TotalOpenCodeViolations
1.00,0.35,0.10,0.01,0.05,0.38,0.09,0.02,0.12,4391880.63,99.00
2.00,0.08,0.00,0.01,0.41,0.08,0.38,0.05,0.06,70715.14,531.00
3.00,0.01,0.00,0.01,0.77,0.03,0.15,0.02,0.07,79230.12,160.00
4.00,0.01,0.00,0.01,0.75,0.02,0.19,0.02,0.08,91298.75,149.00
7.00,0.02,0.00,0.00,0.54,0.04,0.34,0.06,0.19,57567.25,207.00
8.00,0.03,0.00,0.01,0.49,0.03,0.39,0.06,0.08,60895.81,382.00
9.00,0.00,0.00,0.00,0.80,0.02,0.16,0.02,0.05,134093.79,126.00
10.00,0.04,0.00,0.00,0.59,0.08,0.26,0.02,0.09,102761.95,241.00
16.00,0.24,0.01,0.07,0.18,0.19,0.27,0.03,0.13,418451.73,420.00
17.02,0.03,0.00,0.01,0.60,0.05,0.29,0.03,0.04,90574.70,242.00
18.00,0.03,0.00,0.00,0.69,0.02,0.24,0.02,0.05,87457.29,135.00
19.00,0.03,0.00,0.01,0.74,0.02,0.18,0.02,0.11,84022.63,194.00
20.00,0.07,0.00,0.01,0.40,0.11,0.35,0.05,0.08,68330.72,375.00
23.00,0.19,0.01,0.03,0.12,0.20,0.36,0.10,0.11,721378.65,241.00
27.00,0.04,0.00,0.01,0.52,0.06,0.34,0.03,0.06,77863.41,259.00
29.01,0.05,0.00,0.01,0.50,0.05,0.35,0.03,0.06,126213.87,191.00
36.02,0.11,0.01,0.01,0.63,0.06,0.17,0.02,0.12,165280.13,95.00
45.00,0.08,0.00,0.01,0.53,0.01,0.36,0.01,0.05,97242.49,298.00
46.00,0.01,0.00,0.01,0.81,0.05,0.11,0.01,0.08,147544.33,185.00
48.00,0.01,0.00,0.00,0.82,0.05,0.10,0.02,0.02,112972.31,48.00
49.00,0.01,0.01,0.01,0.64,0.04,0.27,0.03,0.07,90491.82,145.00
50.00,0.00,0.00,0.01,0.76,0.03,0.18,0.03,0.10,117181.55,145.00
55.00,0.09,0.02,0.03,0.44,0.11,0.28,0.03,0.07,142105.13,93.00
56.01,0.00,0.00,0.01,0.74,0.05,0.18,0.01,0.05,113652.47,52.00
57.00,0.02,0.00,0.02,0.56,0.12,0.22,0.06,0.13,83095.79,335.00
60.00,0.02,0.00,0.01,0.68,0.06,0.19,0.04,0.09,73038.28,275.00
61.01,0.04,0.00,0.01,0.58,0.08,0.23,0.06,0.08,103653.47,622.00
61.02,0.18,0.01,0.04,0.40,0.19,0.16,0.03,0.14,478258.47,19.00
61.03,0.01,0.00,0.01,0.81,0.04,0.10,0.02,0.06,90482.01,155.00
