CensusTract1,CensusTract2,CensusTract3,lon,lat,TransitCount
1,1.00,1.00,-76.17424454040,43.06637257660,36
2,2.00,2.00,-76.15875274870,43.07471513750,49
3,3.00,3.00,-76.14872837000,43.08101726920,10
4,4.00,4.00,-76.13812128220,43.07612432560,56
5.01,5.01,5.01,-76.15735767940,43.06369957370,51
6,6.00,6.00,-76.15299800440,43.06992298280,36
7,7.00,7.00,-76.14608068110,43.06919910510,13
8,8.00,8.00,-76.13909693190,43.06804696630,27
9,9.00,9.00,-76.12748286540,43.06778345450,64
10,10.00,10.00,-76.10965425400,43.07210893980,37
14,14.00,14.00,-76.14847491310,43.06377658620,36
15,15.00,15.00,-76.14046011780,43.06119585300,25
16,16.00,16.00,-76.13817288730,43.05708712710,33
17.01,17.01,17.01,-76.12657015260,43.05747072450,42
17.02,17.02,17.02,-76.11827815640,43.06078909860,40
18,18.00,18.00,-76.11024892310,43.06221342100,25
19,19.00,19.00,-76.09720349760,43.06349145730,82
20,20.00,20.00,-76.19369205790,43.05678198310,41
21.01,21.01,21.01,-76.17160898270,43.05257430620,30
23,23.00,23.00,-76.14835152790,43.05582508420,36
24,24.00,24.00,-76.13539373330,43.05400948320,20
27,27.00,27.00,-76.19108686160,43.05007086620,34
29.01,29.01,29.01,-76.18239640450,43.04412957900,51
30,30.00,30.00,-76.16356059750,43.04608315160,46
32,32.00,32.00,-76.15059443480,43.04795175960,87
34,34.00,34.00,-76.13463129280,43.04859393190,56
35,35.00,35.00,-76.12037013190,43.04791734600,49
36.01,36.01,36.01,-76.10964484860,43.05089195300,21
36.02,36.02,36.02,-76.09589734510,43.05373206700,30
38,38.00,38.00,-76.18002541150,43.03607029220,45
39,39.00,39.00,-76.16644435180,43.03690232670,56
40,40.00,40.00,-76.16274629210,43.04151601620,20
42,42.00,42.00,-76.14945071900,43.03860390300,44
43.01,43.01,43.01,-76.14037449680,43.03880208550,16
43.02,43.02,43.02,-76.13499656850,43.03994909640,46
44,44.00,44.00,-76.12643927950,43.03709253390,20
45,45.00,45.00,-76.11850531670,43.03591497390,45
46,46.00,46.00,-76.09814623760,43.04003542360,108
48,48.00,48.00,-76.19247496430,43.02774049940,37
49,49.00,49.00,-76.17886778400,43.02632498780,25
50,50.00,50.00,-76.17026822270,43.02657834880,37
51,51.00,51.00,-76.16077933820,43.02362571550,26
52,52.00,52.00,-76.15940707740,43.03212580570,36
53,53.00,53.00,-76.14799484580,43.03164857630,41
54,54.00,54.00,-76.14592204460,43.02446011220,40
55,55.00,55.00,-76.13411869530,43.02096272000,59
56.01,56.01,56.01,-76.12155446620,43.02438600720,45
56.02,56.02,56.02,-76.11760014890,43.01788341010,25
57,57.00,57.00,-76.16416327070,43.01521653410,42
58,58.00,58.00,-76.15300693110,43.01985228730,21
59,59.00,59.00,-76.14492094530,43.01697013020,18
60,60.00,60.00,-76.15615953790,42.99764662430,53
61.01,61.01,61.01,-76.14182320570,43.00713610960,57
61.02,61.02,61.02,-76.13060085030,42.99845660990,11
61.03,61.03,61.03,-76.14197351030,42.99259900190,41
