Year,Washington.Square,Eastwood,Brighton,Near.Northeast,Northside,Strathmore,Far.WestSide,North.Valley,South.Valley,Meadowbrook,University,Outer.Comstock,Salt.Springs,Wescott,Sedgwick,Elmwood
1996,44800,62100,0,43700,58300,69000,52000,48100,0,84900,75800,58600,60100,0,92200,51300
1997,42600,59900,0,43500,55100,68900,47300,50300,62200,86100,75400,58200,52900,0,97500,51200
1998,43400,60100,0,44600,54300,65400,52200,48100,61400,86800,75900,57300,53800,0,101800,49900
1999,40700,57900,0,44600,54300,67600,47900,47100,60600,87300,73600,55900,51700,0,100500,49400
2000,43400,60400,0,44200,56800,68800,51400,48700,62400,93500,80800,60000,56000,0,98600,52600
2001,42600,60900,0,45300,55800,73100,50200,49900,63100,99500,83800,62800,54500,0,104000,51000
2002,42900,66300,0,46500,59300,75800,56300,50500,65500,105000,86700,64800,61300,0,120600,56000
2003,46200,69200,0,52500,63900,80400,60300,58300,71300,116100,94200,66300,62100,0,124400,58000
2004,48200,70400,0,52400,64100,83800,58200,56800,70700,120800,99200,69800,63000,0,129600,60900
2005,53100,73000,0,54100,68700,86300,59200,57500,77000,130600,109700,74000,71300,0,137300,60100
2006,53000,77900,0,56800,72500,90600,61700,61400,77300,133500,116200,76500,72900,0,155700,62500
2007,53100,78100,0,56600,71300,92200,63600,60700,78500,138700,120400,79800,77100,0,144700,62200
2008,56200,80800,0,58700,76100,94900,71000,63400,81300,139700,124500,81700,76500,0,145500,64800
2009,52200,81500,0,56600,73700,91300,66700,55600,81400,136000,121200,81800,75600,0,153600,60400
2010,54700,85100,56200,59500,77600,101100,72700,62700,84000,145700,132900,86000,79400,131100,155300,65500
2011,56200,83100,56800,60200,76900,103300,73400,58900,83600,143400,140900,88600,81000,139500,153200,62700
2012,53200,80800,55400,60400,73300,108200,75900,56400,81200,140700,138400,86100,79700,135000,159500,63300
2013,52800,81800,58500,60300,72400,103100,77000,60400,83900,146200,136900,91300,79800,128200,154700,64100
2014,54200,80200,58600,58300,73300,102200,71200,56300,81300,146100,136600,85700,78100,130300,160200,68500
2015,55700,84800,55000,57100,74300,104600,72000,54600,78000,148500,145000,82400,81100,140100,147900,55800
2016,51800,83200,53400,55100,74400,104900,68900,55600,82000,146000,143500,89700,80200,135900,149100,58800
