NAME,lon,lat
1,-76.17424454040,43.06637257660
2,-76.15875274870,43.07471513750
3,-76.14872837000,43.08101726920
4,-76.13812128220,43.07612432560
5.01,-76.15735767940,43.06369957370
6,-76.15299800440,43.06992298280
7,-76.14608068110,43.06919910510
8,-76.13909693190,43.06804696630
9,-76.12748286540,43.06778345450
10,-76.10965425400,43.07210893980
14,-76.14847491310,43.06377658620
15,-76.14046011780,43.06119585300
16,-76.13817288730,43.05708712710
17.01,-76.12657015260,43.05747072450
17.02,-76.11827815640,43.06078909860
18,-76.11024892310,43.06221342100
19,-76.09720349760,43.06349145730
20,-76.19369205790,43.05678198310
21.01,-76.17160898270,43.05257430620
23,-76.14835152790,43.05582508420
24,-76.13539373330,43.05400948320
27,-76.19108686160,43.05007086620
29.01,-76.18239640450,43.04412957900
30,-76.16356059750,43.04608315160
32,-76.15059443480,43.04795175960
34,-76.13463129280,43.04859393190
35,-76.12037013190,43.04791734600
36.01,-76.10964484860,43.05089195300
36.02,-76.09589734510,43.05373206700
38,-76.18002541150,43.03607029220
39,-76.16644435180,43.03690232670
40,-76.16274629210,43.04151601620
42,-76.14945071900,43.03860390300
43.01,-76.14037449680,43.03880208550
43.02,-76.13499656850,43.03994909640
44,-76.12643927950,43.03709253390
45,-76.11850531670,43.03591497390
46,-76.09814623760,43.04003542360
48,-76.19247496430,43.02774049940
49,-76.17886778400,43.02632498780
50,-76.17026822270,43.02657834880
51,-76.16077933820,43.02362571550
52,-76.15940707740,43.03212580570
53,-76.14799484580,43.03164857630
54,-76.14592204460,43.02446011220
55,-76.13411869530,43.02096272000
56.01,-76.12155446620,43.02438600720
56.02,-76.11760014890,43.01788341010
57,-76.16416327070,43.01521653410
58,-76.15300693110,43.01985228730
59,-76.14492094530,43.01697013020
60,-76.15615953790,42.99764662430
61.01,-76.14182320570,43.00713610960
61.02,-76.13060085030,42.99845660990
61.03,-76.14197351030,42.99259900190
